company,ticker,sector
AMAZON.COM,AMAZON.COM,Consumer Discretionary
ABBOTT LABORATORIES,ABBOTT LABORATORIES,Healthcare
AES,AES,Utilities
INTERNATIONAL BUS.MCHS.,INTERNATIONAL BUS.MCHS.,Information Technology
ADVANCED MICRO DEVICES,ADVANCED MICRO DEVICES,Information Technology
ADOBE (NAS),ADOBE (NAS),Information Technology
ALEXANDRIA REAL ESTATE EQUITIES REIT,ALEXANDRIA REAL ESTATE EQUITIES REIT,Real Estate
AIR PRDS.& CHEMS.,AIR PRDS.& CHEMS.,Materials
BXP,BXP,Real Estate
ALLSTATE ORD SHS,ALLSTATE ORD SHS,Financials
HONEYWELL INTL.,HONEYWELL INTL.,Industrials
AMGEN,AMGEN,Health Care
AMERICAN EXPRESS,AMERICAN EXPRESS,Financials
AMER.ELEC.PWR.,AMER.ELEC.PWR.,Utilities
AFLAC,AFLAC,Financials
AMERICAN INTL.GP.,AMERICAN INTL.GP.,Financials
ANALOG DEVICES,ANALOG DEVICES,Information Technology
VALERO ENERGY,VALERO ENERGY,Energy
COMCAST A,COMCAST A,Communication Services
APPLE,APPLE,Information Technology
APPLIED MATS.,APPLIED MATS.,Information Technology
ALBEMARLE,ALBEMARLE,Materials
ARCHER DANIELS MIDLAND,ARCHER DANIELS MIDLAND,Consumer Staples
PINNACLE WEST CAP.,PINNACLE WEST CAP.,Utilities
AMEREN,AMEREN,Utilities
AUTODESK,AUTODESK,Information Technology
AUTOMATIC DATA PROC.,AUTOMATIC DATA PROC.,Information Technology
AUTOZONE,AUTOZONE,Consumer Discretionary
AVERY DENNISON,AVERY DENNISON,Materials
BALL,BALL,Materials
BERKSHIRE HATHAWAY 'B',BERKSHIRE HATHAWAY 'B',Financials
BAXTER INTL.,BAXTER INTL.,Health Care
BECTON DICKINSON,BECTON DICKINSON,Health Care
AMETEK,AMETEK,Industrials
VERIZON COMMUNICATIONS,VERIZON COMMUNICATIONS,Communication Services
W R BERKLEY,W R BERKLEY,Financials
BEST BUY,BEST BUY,Consumer Discretionary
YUM! BRANDS,YUM! BRANDS,Consumer Discretionary
FIRSTENERGY,FIRSTENERGY,Utilities
BOEING,BOEING,Industrials
