Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Australia,19506266.0,19746894,19981026,20242876,20514836,20889244,21321834,21776770,22248508,22521494,22561608
Austria,7919134.0,7818240,7899650,7972592,8038708,8074342,8108428,8136094,8158186,8190674,8236070
Belgium,10084576.0,10133770,10174352,10222650,10287642,10362816,10448618,10537302,10624442,10740468,10827602
Canada,,31064876,31077144,31685574,31991164,32341446,32652282,33049008,33053352,33652244,34227082
Czech Republic,10011016.0,9933412,9949480,9961826,10005296,10052368,10165868,10272754,10314394,10337598,10316420
Denmark,5308292.0,5324846,5340270,5354584,5371692,5393324,5425332,5464040,5486572,5513164,5533552
Finland,5075194.0,5089832,5105786,5124154,5144700,5167484,5193574,5223306,5250134,5276832,5305068
France,57655316.0,57949176,58223052,60742162,61217372,61608322,61964560,62317294,62662760,63062226,63340782
Germany,80549352.0,80689758,80712028,80707254,80679922,80602332,80548584,80368566,80207212,80224850,80413326
Greece,10880226.0,10897164,10928802,10973264,11016330,11064094,11107790,11153480,11194930,11200134,11180262
Hungary,9673960.0,9636912,9608226,9586230,9569158,9558156,9539124,9526100,9513800,9487802,9463448
Iceland,286900.0,288574,290802,294340,302404,313152,321792,324136,319872,320012,320728
Ireland,3856552.0,3938246,4005556,4094186,4203752,4242342,4394966,4429694,4432888,4536858,4539662
Italy,55174484.0,55532446,56137216,56753608,57053776,57436882,57899494,58304846,58574806,58826548,59024808
Japan,124488000.0,124500000,124614000,124594000,124697954,124660000,124620000,124502000,124260000,124654000,124368000
Korea,47967676.0,48252370,48456418,48381812,48535218,48688552,48831766,48962960,49080632,49884678,50079114
Luxembourg,437640.0,442018,446040,449480,464200,471584,479214,489670,498812,509238,523640
Mexico,101366166.0,102548342,103689152,101629164,102476854,103309284,104133486,104932524,105707576,106459698,113039594
Netherlands,15943934.0,16030942,16091828,16131958,16154814,16177028,16224146,16312792,16406952,16486964,16565742
New Zealand,3868020.0,3942600,3996600,4035800,4075080,4141400,4184360,4235140,4289340,4329180,4360200
Norway,4483868.0,4512214,4538098,4568140,4603962,4651576,4719380,4790106,4853504,4921698,4997742
Poland,37521576.0,37013498,36972860,36940506,36907710,36853550,36823002,36829852,36857484,36888746,37309154
Portugal,9983180.0,10060494,10132616,10188678,10231484,10259874,10277614,10285132,10296406,10293286,10060874
Slovak Republic,5223842.0,5222612,5222248,5226980,5231744,5236568,5246254,5259608,5273876,5284480,5263504
Spain,39558756.0,40774170,41603978,42346578,43122524,43885448,44713764,45256888,45344840,45449728,46198024
Sweden,8816890.0,8854214,8893312,8932622,8973100,9047046,9127842,9207420,9298028,9380488,9453668
Switzerland,7098178.0,7150058,7203078,7257392,7305004,7358718,7454028,7573350,7661132,7754852,7844506
Turkey,,70836968,71332000,72246000,73148422,73148422,70753066,71802308,72924940,74086364,75065908
United Kingdom,57906252.0,57861296,58386070,58789994,59191012,59610066,60067446,60527840,61017272,61545164,62281338
United States,270602864.0,283914076,286074520,289895168,292788722,295845528,300673510,300929804,303681812,304898268,307193816
