ticker,anomaly,mean_excess_return_anomaly_days
ADVANCED MICRO DEVICES,pre_holiday,0.006909119335427631
ALBEMARLE,pre_holiday,-0.00013963367604472957
ALIGN TECHNOLOGY,pre_holiday,-0.003835882351318894
APA,pre_holiday,0.010222452293842684
AXON ENTERPRISE,pre_holiday,-0.007227446284386281
BUILDERS FIRSTSOURCE,pre_holiday,-0.0034073958145538485
CARNIVAL,pre_holiday,0.0057796276951539065
DECKERS OUTDOOR,pre_holiday,-0.0025164976191635233
DEVON ENERGY,pre_holiday,0.006263583795825811
DEXCOM,pre_holiday,-0.011383860971285076
EQT,pre_holiday,-8.016933258779095e-05
EXPEDIA GROUP,pre_holiday,0.005675368206511895
FIRST SOLAR,pre_holiday,0.0008697254266812152
FORTINET,pre_holiday,-0.016740181849110265
FREEPORT-MCMORAN,pre_holiday,-0.002195081195198345
GENERAC HOLDINGS,pre_holiday,0.004470528870825534
HALLIBURTON,pre_holiday,0.010103771791127944
LULULEMON ATHLETICA,pre_holiday,-0.00676739202613567
MGM RESORTS INTL.,pre_holiday,-0.0013471032558738567
MICRON TECHNOLOGY,pre_holiday,0.006119540584888468
MONOLITHIC PWR.SYS.,pre_holiday,0.0008246906773161274
NETFLIX,pre_holiday,-0.005756275421415121
NVIDIA,pre_holiday,-0.00025004825965420824
NXP SEMICONDUCTORS,pre_holiday,0.0005559430965494938
OCCIDENTAL PTL.,pre_holiday,0.01301957658473176
ON SEMICONDUCTOR,pre_holiday,0.004611622243090678
PARAMOUNT SKYDANCE B,pre_holiday,0.006177018451593334
PG&E,pre_holiday,-0.0021180759788390255
ROYAL CARIBBEAN GROUP,pre_holiday,0.00509064940729705
SEAGATE TECHNOLOGY HOLDINGS,pre_holiday,-0.0015799788663919956
SKYWORKS SOLUTIONS,pre_holiday,0.003100015765656957
SUPER MICRO COMPUTER,pre_holiday,0.0059111375959270225
TESLA,pre_holiday,0.02107184750192957
TEXAS PACIFIC LAND TRUST,pre_holiday,0.0023905420933694557
UNITED AIRLINES HOLDINGS,pre_holiday,0.0011472905624821579
UNITED RENTALS,pre_holiday,-0.00017619376920648597
VERTEX PHARMS.,pre_holiday,-0.003779900675634736
WARNER BROS DISCOVERY SERIES A,pre_holiday,0.010788510694968187
WESTERN DIGITAL,pre_holiday,-0.0010950936073501987
WYNN RESORTS,pre_holiday,0.00033842561071019867
ADVANCED MICRO DEVICES,turn_of_month,0.00372940445220235
ALBEMARLE,turn_of_month,0.002223233338592022
ALIGN TECHNOLOGY,turn_of_month,0.003110821174928169
APA,turn_of_month,0.0027784313356624983
AXON ENTERPRISE,turn_of_month,0.0014059794155092313
BUILDERS FIRSTSOURCE,turn_of_month,0.00622129143844362
